id,video_id,buffering_bitrate_audio,buffering_bitrate_video,buffering_state,buffering_vmaf,duration,framerate,player_state,playing_bitrate_video,playing_bitrate_audio,playing_vmaf,position,rendering_state,resolution,segment_position,timestamp,total_corrupted_frames,total_dropped_frames,total_frames,volume
164,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,160.627,Playing,480x270,160.627,2023-02-06T14:19:28.332,0,0,3970,64
165,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,161.684,Playing,480x270,161.684,2023-02-06T14:19:29.328,0,0,3994,64
166,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,162.749,Playing,480x270,162.749,2023-02-06T14:19:30.333,0,0,4018,64
167,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,163.553,Playing,480x270,163.553,2023-02-06T14:19:31.332,0,0,4042,64
168,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,164.607,Playing,480x270,164.607,2023-02-06T14:19:32.328,0,0,4066,64
169,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,165.711,Playing,480x270,165.711,2023-02-06T14:19:33.327,0,0,4090,64
170,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,166.733,Playing,480x270,166.733,2023-02-06T14:19:34.327,0,0,4115,64
171,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,167.794,Playing,480x270,167.794,2023-02-06T14:19:35.329,0,0,4139,64
172,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,168.591,Playing,480x270,168.591,2023-02-06T14:19:36.329,0,0,4163,64
173,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,169.656,Playing,480x270,169.656,2023-02-06T14:19:37.327,0,0,4187,64
174,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,169.843,Paused,480x270,169.843,2023-02-06T14:19:38.329,0,0,4187,64
175,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,169.843,Paused,480x270,169.843,2023-02-06T14:19:39.330,0,0,4187,64
176,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,169.843,Paused,480x270,169.843,2023-02-06T14:19:40.330,0,0,4187,64
177,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,169.843,Paused,480x270,169.843,2023-02-06T14:19:41.332,0,0,4187,64
178,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,169.843,Paused,480x270,169.843,2023-02-06T14:19:42.328,0,0,4187,64
179,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,169.843,Paused,480x270,169.843,2023-02-06T14:19:43.328,0,0,4187,64
180,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,169.843,Paused,480x270,169.843,2023-02-06T14:19:44.336,0,0,4187,64
181,1,96,100,Normal,65,3504.834,23.976,Normal,60,96,49,169.843,Paused,480x270,169.843,2023-02-06T14:19:45.332,0,0,4187,64
